Time,MQ2,MQ4,MQ6,MQ9,MQ135,MQ136,MQ137,MQ138,Class
0,747.52,547.386666666667,709.466666666667,723.026666666667,836.473333333333,458.14,391.746666666667,649.84,0
0.1,719.52,397.726666666667,640.506666666667,619.173333333333,645.986666666667,451.553333333333,379.306666666667,582.82,0
0.2,582.933333333333,433.546666666667,690.386666666667,661.093333333333,712.813333333333,475.553333333333,383.833333333333,654.36,0
0.3,646.04,602.646666666667,718.673333333333,736.613333333333,840.826666666667,407.113333333333,362.693333333333,592.64,0
0.4,742.32,537.706666666667,699.706666666667,711.333333333333,832.066666666667,465.1,391.9,642.293333333333,0
0.5,746.78,542.573333333333,706.433333333333,719.166666666667,833.926666666667,464.973333333333,394.8,648.42,0
0.6,578.52,472.566666666667,638.806666666667,664,764.54,461.766666666667,393.186666666667,641.526666666667,0
0.7,624.72,473.2,640.54,674.88,783.533333333333,420.7,376.24,586.866666666667,0
0.8,809.386666666667,520.293333333333,691.08,694.84,759.853333333333,492.506666666667,404.953333333333,623.826666666667,0
0.9,576.346666666667,501.646666666667,667.62,703.713333333333,789.286666666667,462.153333333333,388.566666666667,587.406666666667,0
1,809.833333333333,470.56,653.873333333333,665.12,778.993333333333,428.186666666667,370.726666666667,615.833333333333,0
1.1,791.713333333333,463.1,620.08,695.326666666667,803.18,474.953333333333,396.86,609.053333333333,0
1.2,795.92,470.313333333333,631.746666666667,716.726666666667,789.28,464.68,393.026666666667,623.353333333333,0
1.3,723.52,403.846666666667,640.84,632.3,664.433333333333,450.606666666667,378.7,591.493333333333,0
1.4,644.813333333333,601.646666666667,721.02,734.473333333333,839.693333333333,410.08,363.48,591.913333333333,0
1.5,591.32,514.846666666667,674.193333333333,710.986666666667,809.1,455.186666666667,385.446666666667,600.746666666667,0
1.6,809.246666666667,482.953333333333,658.873333333333,663.6,798.706666666667,425.733333333333,371.406666666667,623.253333333333,0
1.7,808.393333333333,487.106666666667,659.306666666667,672.26,806.693333333333,420.593333333333,368.166666666667,625.653333333333,0
1.8,611.266666666667,483.586666666667,647.36,680.26,787.786666666667,448.666666666667,391.926666666667,653.766666666667,0
1.9,773.187919463087,579.697986577181,734.691275167785,748.335570469799,849,467.731543624161,397,670.127516778524,0
2,723.62,404.78,640.846666666667,637.313333333333,668.026666666667,443.126666666667,375.153333333333,593.033333333333,0
2.1,639.046666666667,480.593333333333,711.906666666667,711.773333333333,771.906666666667,458.06,375.026666666667,675.113333333333,0
2.2,617.006666666667,488.606666666667,645.133333333333,685.753333333333,793.553333333333,439.8,381.74,658.76,0
2.3,639.386666666667,481.86,718.18,712.52,786.74,444.153333333333,371.026666666667,675.26,0
2.4,717.42,407.32,640.093333333333,643.14,671.52,441.18,373.466666666667,591.8,0
2.5,618.013333333333,492.64,646.906666666667,688.353333333333,796.186666666667,435.92,379.566666666667,662.553333333333,0
2.6,795.066666666667,476.686666666667,635.586666666667,720.12,798.206666666667,459.873333333333,390.04,624.513333333333,0
2.7,795.54,487.046666666667,636.16,706.52,814.12,470.126666666667,392.293333333333,624.72,0
2.8,641.646666666667,485.42,717.82,712.966666666667,783.28,450.7,373,676.973333333333,0
2.9,615.58,465.04,697.233333333333,707.54,759.046666666667,458.28,372.486666666667,666.76,0
3,795.826666666667,499.56,639.006666666667,714.006666666667,818.82,476.16,400.46,632.393333333333,0
3.1,713.88,411.126666666667,639.8,649.553333333333,675.826666666667,440.913333333333,374.04,592.506666666667,0
3.2,484.1,474.906666666667,612.7,619.206666666667,710.38,582.893333333333,460.68,612.566666666667,0
3.3,518.106666666667,505.24,632.513333333333,647.666666666667,736.12,567.566666666667,454.986666666667,639.273333333333,0
3.4,561.313333333333,548.153333333333,662.6,679.086666666667,760.86,578.546666666667,462.453333333333,665.233333333333,0
3.5,524.753333333333,518.92,646.606666666667,656.2,748.753333333333,532.126666666667,435.126666666667,639.226666666667,0
3.6,308.686666666667,359.26,475.92,607.853333333333,737.586666666667,480.693333333333,396.426666666667,556.24,0
3.7,308.973333333333,338.233333333333,469.98,594.8,733.14,485.12,401.113333333333,539.506666666667,0
3.8,386.213333333333,378.993333333333,578.486666666667,672.333333333333,704.793333333333,468,530.1,582.593333333333,0
3.9,384.78,367.926666666667,578.406666666667,670.14,680.833333333333,482.593333333333,523.666666666667,575.393333333333,0
4,357.36,338.446666666667,572.226666666667,630.813333333333,595.9,530.686666666667,506.393333333333,543.346666666667,0
4.1,293.253333333333,368.633333333333,471.866666666667,631.146666666667,762.4,412.593333333333,367.013333333333,577.433333333333,0
4.2,298.313333333333,380.133333333333,475.493333333333,636.38,762.386666666667,409.293333333333,364.246666666667,587.66,0
4.3,302.84,387.473333333333,483.526666666667,642.926666666667,767.033333333333,409.326666666667,366.513333333333,596.213333333333,0
4.4,296.453333333333,385.813333333333,468.966666666667,619.706666666667,736.566666666667,393.126666666667,358.486666666667,578.213333333333,0
4.5,300.24,395.1,473.226666666667,620.533333333333,736.96,389.14,356.153333333333,580.426666666667,0
4.6,313.72,409.08,492.72,644.846666666667,760.8,396.22,362.2,600.693333333333,0
4.7,317.013333333333,414.553333333333,489.506666666667,640.213333333333,746.346666666667,386.573333333333,354.28,594.153333333333,0
4.8,329.306666666667,429,504.546666666667,654.293333333333,762.193333333333,389.46,358.82,607.673333333333,0
4.9,272.533333333333,337.66,455.213333333333,608.56,742.946666666667,417.253333333333,369.086666666667,545.56,0
5,347.633333333333,437.226666666667,514.433333333333,664.913333333333,758.873333333333,458.873333333333,405.766666666667,619.52,0
5.1,340.44,427.353333333333,512.826666666667,668.493333333333,763.706666666667,466.346666666667,394.24,617.28,0
5.2,335.906666666667,422.753333333333,509.74,666.22,761.88,442.306666666667,365.42,608.98,0
5.3,313.366666666667,390.266666666667,485.4,639.126666666667,735.706666666667,436.88,385.406666666667,579.786666666667,0
5.4,298.546666666667,367.853333333333,479.213333333333,626.313333333333,726.566666666667,426.026666666667,374.933333333333,562.166666666667,0
5.5,298.013333333333,445.6,516.226666666667,665.9,743.76,430.093333333333,380.953333333333,606.606666666667,0
5.6,304.426666666667,419.953333333333,513.606666666667,668.073333333333,752.06,447.36,387.346666666667,602.8,0
5.7,308.493333333333,394.733333333333,511.926666666667,666.86,754.773333333333,455.966666666667,391.386666666667,593.96,0
5.8,309.806666666667,330.826666666667,467.733333333333,592.893333333333,733.793333333333,486.333333333333,403.24,533.34,0
5.9,349.773333333333,440.153333333333,520.82,677.733333333333,761.853333333333,457.64,391.313333333333,620.546666666667,0
0,329.446666666667,412.533333333333,525.693333333333,707.966666666667,825.84,460.106666666667,395.793333333333,617.893333333333,1
0.1,320.366666666667,356.206666666667,486.686666666667,627.06,782.26,427.66,373.953333333333,564.533333333333,1
0.2,283.253333333333,336.44,474.873333333333,604.153333333333,760.986666666667,536.673333333333,429.966666666667,547.293333333333,1
0.3,292.653333333333,352.38,479.78,614.733333333333,764.206666666667,535.853333333333,430.373333333333,567.32,1
0.4,626.173333333333,562.28,716.586666666667,723.68,841.933333333333,444.173333333333,380.753333333333,596.713333333333,1
0.5,782.88,505.893333333333,685.98,727.24,822.746666666667,444.406666666667,379.166666666667,640.546666666667,1
0.6,629.54,617.906666666667,702.94,727.52,822.46,421.526666666667,373.2,574.913333333333,1
0.7,828.94,640.926666666667,706.32,734.493333333333,820.506666666667,430.586666666667,378.64,654.52,1
0.8,642.6,652.486666666667,722.513333333333,736.386666666667,833.433333333333,432.146666666667,369.54,579.286666666667,1
0.9,828.8,662.04,701.613333333333,737.066666666667,826.6,421.18,372.406666666667,658.18,1
1,336.22,390.966666666667,539.26,664.2,800.213333333333,447.333333333333,389.546666666667,609.073333333333,1
1.1,354.086666666667,427.56,552.52,700.726666666667,801.68,425.086666666667,371.873333333333,641.433333333333,1
1.2,324.24,385.68,540.44,656.373333333333,789.086666666667,396.26,363.8,589.646666666667,1
1.3,344.94,420.993333333333,557.346666666667,701.173333333333,803.366666666667,379.606666666667,357.74,629.82,1
1.4,346.146666666667,425.873333333333,558.106666666667,707.866666666667,804.52,371.52,352.926666666667,637.42,1
1.5,334.966666666667,408.873333333333,529.92,660.806666666667,805.186666666667,403,369.76,615.32,1
1.6,353.879194630872,444.604026845638,549.993288590604,696.778523489933,812.389261744966,399.489932885906,366.181208053691,648.697986577181,1
1.7,346.162162162162,425.885135135135,558.141891891892,707.864864864865,804.540540540541,371.554054054054,353.25,637.439189189189,1
1.8,344.94,420.993333333333,557.346666666667,701.173333333333,803.366666666667,379.606666666667,357.74,629.82,1
1.9,324.24,385.68,540.44,656.373333333333,789.086666666667,396.26,363.8,589.646666666667,1
2,349.1,424.953333333333,558.453333333333,701.593333333333,800.193333333333,366.066666666667,345.14,630.08,1
2.1,348.693333333333,422.4,559.246666666667,698.173333333333,799.193333333333,370.073333333333,357.153333333333,627.8,1
2.2,349.006666666667,419.786666666667,561.846666666667,698.46,802.353333333333,376.213333333333,350.92,626.266666666667,1
2.3,348.866666666667,417.24,563.853333333333,695.426666666667,802.446666666667,381.586666666667,360.546666666667,625.613333333333,1
2.4,349.42,415.313333333333,564.813333333333,690.886666666667,799.146666666667,389.22,366.52,622.573333333333,1
2.5,340.746666666667,395.04,555.74,666.253333333333,784.626666666667,399.686666666667,367.48,602.026666666667,1
2.6,326.853333333333,372.473333333333,546.14,643.266666666667,772.8,402.966666666667,368.113333333333,579.28,1
2.7,322.1,369.02,583.02,641.326666666667,757.786666666667,426.013333333333,384.34,579.946666666667,1
2.8,331.093333333333,383.24,582.32,656.24,765.353333333333,424.806666666667,384.16,602.073333333333,1
2.9,331.913333333333,388.04,579.086666666667,662.926666666667,767.32,419.166666666667,378.8,605.9,1
3,333.3,393.493333333333,577.173333333333,669.926666666667,766.266666666667,413.793333333333,375.426666666667,610.113333333333,1
3.1,333.04,397.046666666667,575.073333333333,673.273333333333,772.013333333333,410.106666666667,372.813333333333,612.04,1
3.2,333.48,401.486666666667,573.56,677.153333333333,775.2,407.1,371.766666666667,614.793333333333,1
3.3,333.34,403.32,572.713333333333,681.073333333333,777.986666666667,405.093333333333,371.2,617.086666666667,1
3.4,326.073333333333,391.213333333333,520.113333333333,679.026666666667,788.766666666667,463.226666666667,399.013333333333,587.78,1
3.5,347.8,440.64,544.306666666667,738.486666666667,811.26,436.326666666667,386.4,640.46,1
3.6,349.82,448.993333333333,547.72,748.906666666667,814.34,416.186666666667,375.826666666667,649.633333333333,1
3.7,353.013333333333,457.58,553.62,755.446666666667,821.926666666667,405.366666666667,368.506666666667,658.36,1
3.8,326.06,373.82,539.046666666667,638.42,742.2,480.673333333333,404.886666666667,561.726666666667,1
3.9,326.946666666667,376.413333333333,540.453333333333,641.84,751.146666666667,480.166666666667,403.866666666667,573.246666666667,1
4,328.266666666667,381.546666666667,547.046666666667,650.953333333333,759.12,473.066666666667,402.96,577.68,1
4.1,327.92,382.193333333333,551.2,658.493333333333,759.78,455.726666666667,395.293333333333,575.313333333333,1
4.2,325.1,381.706666666667,551.306666666667,661.7,760.4,446.113333333333,388.18,573.36,1
4.3,323.62,383.226666666667,551.473333333333,671,764.5,442.3,388.426666666667,579.806666666667,1
4.4,322.926666666667,383.566666666667,550.953333333333,675.973333333333,765.706666666667,439.006666666667,384.533333333333,605.866666666667,1
4.5,307.706666666667,340.686666666667,468.746666666667,555.553333333333,666.033333333333,434.173333333333,378.22,532.58,1
4.6,302.053333333333,334.42,468.28,545.753333333333,661.7,448.54,382.553333333333,523.606666666667,1
4.7,289.933333333333,324.433333333333,457.006666666667,526.153333333333,641.973333333333,449.266666666667,380.626666666667,504.56,1
4.8,283.366666666667,313,469.86,486.86,629.8,422.713333333333,367.38,510.113333333333,1
4.9,281.393333333333,317.08,472.72,503.573333333333,639.846666666667,415.686666666667,366.706666666667,516.82,1
5,281.8,322.286666666667,473.606666666667,517.42,647.2,409.406666666667,363.32,524.806666666667,1
5.1,281.786666666667,326.993333333333,474.346666666667,526.613333333333,653.226666666667,405.88,362.613333333333,530.4,1
5.2,281.78,331.1,475.3,533.506666666667,657.68,401.653333333333,361.166666666667,534.733333333333,1
5.3,273.653333333333,308.513333333333,506.34,470.5,630.526666666667,448.193333333333,382.84,507.273333333333,1
5.4,282.206666666667,314,507.513333333333,489.766666666667,641.586666666667,443.646666666667,379.966666666667,516.526666666667,1
5.5,285.34,316.82,507.72,500.62,646.84,437.906666666667,378.506666666667,521.52,1
5.6,329.053333333333,355.173333333333,566.226666666667,543.526666666667,687.626666666667,451.92,387.213333333333,538.18,1
5.7,313.6,341.34,549.04,528.233333333333,691.14,448.78,384.62,531.133333333333,1
5.8,296.973333333333,329.426666666667,531.833333333333,517.306666666667,674.38,443.606666666667,380.9,520.966666666667,1
5.9,293.42,324.48,523.493333333333,516.48,670.26,442.066666666667,380.366666666667,517.473333333333,1
